iter	Passed	Remaining
714	2415	962
715	2418	959
716	2423	956
717	2428	953
718	2431	950
719	2446	951
720	2449	947
721	2451	943
722	2462	943
723	2465	939
724	2476	939
725	2479	935
726	2481	932
727	2484	928
728	2489	925
729	2497	923
730	2499	919
731	2507	917
732	2509	914
733	2512	910
734	2521	908
735	2523	905
736	2526	901
737	2528	897
738	2532	894
739	2536	891
740	2538	887
741	2540	883
742	2542	879
743	2544	875
744	2555	874
745	2558	870
746	2570	870
747	2572	866
748	2574	862
749	2577	859
750	2585	857
751	2587	853
752	2590	849
753	2592	845
754	2597	842
755	2599	839
756	2601	835
757	2605	831
758	2607	828
759	2611	824
760	2616	821
761	2619	818
762	2622	814
763	2626	811
764	2630	808
765	2633	804
766	2635	800
767	2637	796
768	2639	792
769	2644	789
770	2646	786
771	2648	782
772	2650	778
773	2652	774
774	2654	770
775	2656	766
776	2660	763
777	2662	759
778	2664	756
779	2668	752
780	2675	750
781	2681	747
782	2694	746
783	2696	742
784	2699	739
785	2701	735
786	2707	732
787	2710	729
788	2712	725
789	2714	721
790	2717	718
791	2722	715
792	2725	711
793	2727	707
794	2729	703
795	2732	700
796	2741	698
797	2743	694
798	2746	690
799	2748	687
800	2753	684
801	2756	680
802	2758	676
803	2761	673
804	2763	669
805	2774	667
806	2776	664
807	2779	660
808	2784	657
809	2787	653
810	2789	650
811	2791	646
812	2793	642
813	2796	638
814	2801	635
815	2803	632
816	2806	628
817	2808	624
818	2810	621
819	2817	618
820	2819	614
821	2821	610
822	2823	607
823	2825	603
824	2827	599
825	2831	596
826	2833	592
827	2835	589
828	2838	585
829	2841	581
830	2843	578
831	2848	575
832	2850	571
833	2852	567
834	2854	564
835	2856	560
836	2859	556
837	2865	553
838	2868	550
839	2870	546
840	2872	543
841	2876	539
842	2917	543
843	2919	539
844	2924	536
845	2928	533
846	2931	529
847	2976	533
848	2979	529
849	2981	526
850	2984	522
851	2987	518
852	2993	515
853	2996	512
854	2998	508
855	3000	504
856	3007	501
857	3009	498
858	3011	494
859	3013	490
860	3023	488
861	3025	484
862	3027	480
863	3030	476
864	3032	473
865	3035	469
866	3041	466
867	3043	462
868	3046	459
869	3050	455
870	3056	452
871	3058	448
872	3068	446
873	3076	443
874	3110	444
875	3112	440
876	3115	436
877	3123	434
878	3126	430
879	3128	426
880	3134	423
881	3137	419
882	3156	418
883	3163	415
884	3167	411
885	3176	408
886	3183	405
887	3186	401
888	3190	398
889	3192	394
890	3199	391
891	3202	387
892	3205	384
893	3207	380
894	3211	376
895	3232	375
896	3234	371
897	3236	367
898	3239	363
899	3241	360
900	3248	356
901	3250	353
902	3252	349
903	3255	345
904	3258	342
905	3261	338
906	3264	334
907	3266	330
908	3303	330
909	3305	326
910	3310	323
911	3314	319
912	3316	316
913	3319	312
914	3321	308
915	3327	305
916	3330	301
917	3333	297
918	3335	294
919	3360	292
920	3362	288
921	3364	284
922	3367	280
923	3369	277
924	3373	273
925	3377	269
926	3379	266
927	3381	262
928	3383	258
929	3386	254
930	3390	251
931	3392	247
932	3395	243
933	3397	240
934	3399	236
935	3424	234
936	3426	230
937	3428	226
938	3430	222
939	3436	219
940	3438	215
941	3441	211
942	3445	208
943	3452	204
944	3459	201
945	3502	199
946	3505	196
947	3507	192
948	3509	188
949	3511	184
950	3520	181
951	3523	177
952	3527	173
953	3538	170
954	3540	166
955	3542	163
956	3544	159
957	3569	156
958	3571	152
959	3573	148
960	3575	145
961	3585	141
962	3587	137
963	3589	134
964	3591	130
965	3594	126
966	3597	122
967	3601	119
968	3618	115
969	3635	112
970	3637	108
971	3640	104
972	3646	101
973	3648	97
974	3651	93
975	3653	89
976	3655	86
977	3657	82
978	3680	78
979	3682	75
980	3684	71
981	3692	67
982	3695	63
983	3699	60
984	3702	56
985	3704	52
986	3708	48
987	3711	45
988	3713	41
989	3715	37
990	3717	33
991	3747	30
992	3749	26
993	3751	22
994	3755	18
995	3758	15
996	3760	11
997	3766	7
998	3770	3
999	3772	0
